#wvl           I[ 0.0 deg]       I[20.0 deg]       I[40.0 deg]       I[60.0 deg]       I[80.0 deg]       
#[um]          [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     
4.605786543    17414.6122        17291.0206        16893.7611        16110.8135        14473.6217        
4.603666192    15977.688         15869.6235        15525.6913        14862.9829        13543.1698        
4.601547793    14365.3498        14285.2774        14032.9042        13559.3024        12708.0165        
4.599431343    12363.2472        12344.837         12291.6156        12209.8373        12110.5899        
4.597316839    17448.3543        17324.7391        16927.1936        16142.7746        14499.5086        
4.595204278    12354.6424        12336.9179        12285.7           12207.1207        12112.0625        
4.593093657    16123.7006        16010.8005        15650.9969        14956.8488        13585.2254        
4.590984975    17465.3791        17344.1317        16953.926         16182.4144        14555.3814        
4.588878228    12594.634         12564.9908        12477.3755        12337.5753        12161.1333        
4.586773413    14887.9457        14796.068         14506.0089        13957.846         12937.2546        
4.584670529    15728.9196        15639.6936        15353.7676        14792.0785        13613.1378        
4.582569572    14395.084         14316.831         14069.6521        13603.1458        12750.5336        
4.580470539    12128.6927        12125.5077        12116.3898        12102.6174        12086.2586        
4.578373429    15779.8227        15678.521         15355.4869        14730.2185        13479.8839        
4.576278238    14224.49          14148.4709        13909.0978        13461.2119        12665.8198        
4.574184963    12384.4109        12366.6285        12314.9269        12234.4224        12134.6266        
